"Code","Shipper Name","Exporter Category","Default Currency","Country","Default Incoterm","Primary Address","Pick Address","Primary Contact","Default UNLOCO"
"OSYCONMNLAFE","OSYALI CONSTRUCTION AND TRADING INC.","","","","","","","","PHMNL"
"SURAIRCEB","SURGECO / AIR LIQUIDE","","","","","","","","PHCEB"
"SILMINMNL","SILANGAN MINDANAO MINING CO INC","","","","","","","","PHMNL"
"HYSYALSIN","HYSTER-YALE ASIA PACIFIC PTE. LTD","","","","","","","","SGSIN"
"FLLFERRMI","F.LLI FERRETTI E. & E. SRL","","","","","","","","ITRMI"
"HWAMAWRMQ","HWA MAW MACHINE INDUSTRIAL CO., LTD.","","","","","","","","TWTXG"
"GANKALLGB","GANDANG KALIKASAN USA INC.","","","","","","","","USLGB"
"TECSYSVPI","TECKNOTROVE SYSTEMS (INDIA) PVT LTD","","","","","","","","INVPI"
"WELBUIMNL","WELL-BUILT SPECIALTY CONTRACTORS INC","","","","","","","","PHMNL"
"SEPMINYVR","SEPRO MINERAL SYSTEMS CORP.","","","","","","","","CAVAN"
"RESASISIN","RESONAC ASIA PACIFIC PTE LTD","","","","","","","","SGSIN"
"DASARTAFE","DASAN ART","","","","","","","","KRSEL"
"SHSCIEKUV","SH SCIENTIFIC CO., LTD","","","","","","","","KRKUV"
"FANCHAMNL","FANG CHAN INC.","","","","","","","","PHMNL"
"KOUPACMNL","KOUFU PACKAGING CORPORATION","","","","","","","","PHMNL"
"DOWMINJFM","DOWNUNDER MINING","","","","","","","","AUFRE"
"ZHESTASIN","ZHEJIANG STAXX MATERIAL HANDLING EQUIPMENT CO. LTD","","","","","","","","SGSIN"
"PLASTRBKK","PLASTROCHEM CO., LTD.","","","","","","","","THBKK"
"WISCOMNUE","WISI COMMUNICATIONS GMBH & CO. KG,","","","","","","","","DENUE"
"YANTAIYNT","YAN TAI CARSEM REFRIGERATION ENGINEERING CO. LTD","","","","","","","","CNYAT"
"SHEHANSZX","SHENZHEN HAN YU TONG TRADE CO., LTD.","","","","","","","","CNSNZ"
"IFTECHMNL","IF TECH PLACE ONE BUILDNG","","","","","","","","PHMNL"
"DIACUSJFK","DIAMOND CUSTOMS MACHINES CORPORATION","","","","","","","","USJFK"
"TLDACENYC","TLD ACE C/O TLD EUROPE","","","","","","","","USNYC"
"JULBLUHST","JULIUS BLUM GMBH","","","","","","","","ATHST"
"CRAPAYSSI","CRANE PAYMENT INNOVATIONS","","","","","","","","USSSI"
"SPAINDMNL","SPARK INDUSTRIES","","","","","","","","PHMNL"
"WELALLSYR","WELCH ALLYN INC","","","","","","","","USSYR"
"MASTERLAX","MASTERLINE","","","","","","","","USLAX"
"JOUSANXMN","JOUCO (XIAMEN) SANITARY WARE CO.,LTD.","","","","","","","","CNXAM"
"STRFURMMX","STRING FURNITURE AB","","","","","","","","SEMMA"
